Geographic_Area_Name,zipCode,Median_number_of_rooms_2011,Median_number_of_rooms_2012,Median_number_of_rooms_2013,Median_number_of_rooms_2014,Median_number_of_rooms_2015,Median_number_of_rooms_2016,Median_number_of_rooms_2017,Median_number_of_rooms_2018,Median_number_of_rooms_2019,Median_number_of_rooms_2020,Median_number_of_rooms_2021,Median_number_of_rooms_2022,Median_number_of_rooms_2023,Median_number_of_rooms_2024
ZCTA5 18092,18092,6.7,7.0,6.9,6.9,7.1,7.0,7.2,7.1,7.3,7.7,7.8,7.4,7.6,7.5
ZCTA5 18101,18101,4.0,3.9,3.6,3.6,3.8,3.9,4.0,4.1,4.2,3.8,3.8,3.6,3.6,3.4
ZCTA5 18102,18102,5.3,5.3,5.4,5.3,5.3,5.2,5.3,5.3,5.2,5.2,5.3,5.3,5.2,5.3
ZCTA5 18103,18103,5.9,5.9,5.9,5.9,5.9,5.9,6.0,5.9,5.8,5.9,5.9,5.8,5.8,5.8
ZCTA5 18104,18104,6.5,6.5,6.4,6.4,6.4,6.3,6.4,6.4,6.4,6.4,6.3,6.4,6.3,6.3
ZCTA5 18105,18105,-,-,-,-,-,-,-,-,-,-,,,,
ZCTA5 18106,18106,6.6,6.7,6.4,6.3,6.4,6.1,5.8,6.1,6.4,6.4,6.5,6.7,6.8,6.9
ZCTA5 18109,18109,5.3,5.4,5.3,5.2,5.1,5.1,5.1,5.2,5.2,5.3,5.3,5.4,5.4,5.5
ZCTA5 18195,18195,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 18201,18201,5.8,5.8,5.8,5.8,5.8,5.9,5.9,5.9,5.9,5.8,5.7,5.6,5.6,5.7
ZCTA5 18202,18202,5.9,5.9,5.9,5.8,5.8,5.8,5.9,5.8,5.8,5.9,5.9,6.1,6.2,6.3
ZCTA5 18210,18210,5.2,5.2,5.2,5.3,5.3,5.3,5.4,5.5,5.6,5.7,5.9,5.9,5.9,6.0
ZCTA5 18211,18211,5.9,6.5,6.9,6.8,6.7,6.6,6.4,6.4,6.1,6.6,7.0,7.3,7.1,7.3
ZCTA5 18212,18212,6.2,6.0,5.4,5.3,5.3,5.3,5.2,5.3,5.9,5.7,-,-,-,-
ZCTA5 18214,18214,6.6,6.7,6.9,7.0,7.1,7.1,6.9,7.2,7.1,6.7,6.6,6.4,6.4,6.7
ZCTA5 18216,18216,5.7,5.8,5.7,5.7,5.8,5.7,5.7,6.1,6.2,6.2,6.3,6.2,6.1,6.1
ZCTA5 18218,18218,6.2,6.1,6.2,6.4,6.2,6.1,6.2,6.2,6.3,6.4,6.5,6.4,6.6,6.4
ZCTA5 18219,18219,6.3,6.4,6.5,6.4,6.3,6.4,6.2,6.1,6.2,6.5,6.5,6.7,6.7,6.6
ZCTA5 18220,18220,7.1,7.0,6.2,6.0,6.0,6.0,6.0,6.3,6.5,6.7,6.5,6.5,6.6,6.4
ZCTA5 18221,18221,5.8,7.0,5.5,5.2,5.3,5.8,5.4,5.5,5.9,7.9,5.6,9.0+,8.4,8.5
ZCTA5 18222,18222,6.4,6.4,6.5,6.4,6.4,6.6,6.6,6.5,6.6,6.5,6.5,6.7,6.6,6.7
ZCTA5 18223,18223,9.0+,4.6,4.8,4.5,4.4,4.4,4.8,4.9,5.3,5.4,-,-,-,-
ZCTA5 18224,18224,6.0,6.0,6.1,6.0,6.0,6.1,6.1,6.1,6.2,6.2,6.5,6.5,6.4,6.5
ZCTA5 18225,18225,-,-,-,5.4,5.4,5.4,5.0,4.6,-,-,-,-,-,-
ZCTA5 18229,18229,6.0,6.0,6.1,6.0,6.1,6.1,6.0,6.0,6.2,6.2,6.3,6.4,6.4,6.5
ZCTA5 18230,18230,5.3,5.2,5.7,6.3,6.7,6.3,6.5,6.7,6.6,6.2,8.2,7.6,8.0,8.0
ZCTA5 18231,18231,5.7,5.6,5.4,5.3,5.5,5.9,6.0,5.8,5.9,5.9,5.8,6.1,6.1,6.1
ZCTA5 18232,18232,6.3,6.3,6.2,6.1,6.1,6.0,6.1,6.2,6.1,6.3,6.4,6.1,6.1,6.0
ZCTA5 18234,18234,6.0,6.2,6.8,6.8,7.0,7.1,6.6,5.4,5.3,4.9,5.1,5.0,5.2,5.1
ZCTA5 18235,18235,6.2,6.2,6.1,6.1,6.1,6.1,6.1,6.0,6.0,6.0,5.9,6.2,6.2,6.3
ZCTA5 18237,18237,5.8,5.9,6.0,6.0,6.2,6.1,6.2,6.2,6.2,6.1,6.1,6.0,6.0,5.9
ZCTA5 18239,18239,6.8,6.7,6.7,6.6,5.6,5.6,5.9,5.5,5.5,-,-,-,-,-
ZCTA5 18240,18240,6.2,6.1,6.3,6.3,6.3,6.2,6.3,6.4,6.7,6.5,6.4,6.2,6.1,6.0
ZCTA5 18241,18241,5.5,5.6,5.6,5.9,5.7,5.8,5.8,5.9,5.8,6.1,6.0,6.2,6.6,6.8
ZCTA5 18242,18242,5.4,5.5,5.3,5.5,5.7,5.5,5.5,5.9,5.9,6.7,6.8,6.8,6.8,6.9
ZCTA5 18244,18244,5.5,5.2,5.5,5.5,5.4,5.3,5.2,4.7,4.7,4.9,5.8,5.9,6.2,6.2
ZCTA5 18245,18245,7.9,7.1,6.4,6.2,6.1,5.9,5.8,6.3,6.2,7.2,6.6,6.5,6.4,7.6
ZCTA5 18246,18246,6.3,5.3,5.4,5.5,6.0,6.1,6.1,6.0,6.1,5.1,4.9,5.6,6.4,7.0
ZCTA5 18248,18248,5.6,5.5,5.5,5.4,5.6,5.9,6.0,6.1,6.0,6.2,6.2,6.2,6.4,6.4
ZCTA5 18249,18249,7.3,7.6,7.8,7.7,7.7,7.6,7.6,7.5,7.3,7.2,7.4,7.4,7.5,7.2
ZCTA5 18250,18250,6.1,6.0,6.0,5.9,5.9,6.0,5.9,6.1,6.1,6.2,6.3,6.5,6.6,6.5
ZCTA5 18251,18251,-,4.6,4.6,4.7,-,-,-,-,-,-,,,,
