Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 76228,76228,2,2,411,405,0,0,0,0,85,98,498,505,0,0,84,90,0,0,0,0,18,19,102,109,600,614
ZCTA5 76230,76230,0,0,3184,3206,0,23,298,300,353,430,3835,3959,0,0,905,642,0,0,0,0,290,336,1195,978,5030,4937
ZCTA5 76233,76233,46,72,1008,1061,5,4,44,48,146,214,1249,1399,0,0,72,34,0,0,0,0,0,0,72,34,1321,1433
ZCTA5 76234,76234,88,151,5312,5762,207,178,164,215,1034,955,6805,7261,52,64,488,483,0,0,0,41,269,198,809,786,7614,8047
ZCTA5 76238,76238,0,0,137,138,0,0,0,0,14,16,151,154,0,0,15,13,0,0,0,0,9,9,24,22,175,176
ZCTA5 76239,76239,14,0,397,379,0,0,0,0,90,105,501,484,0,0,64,74,0,0,0,0,39,43,103,117,604,601
ZCTA5 76240,76240,91,124,8679,8610,665,722,1040,1015,922,906,11397,11377,0,0,824,848,30,30,76,111,37,46,967,1035,12364,12412
ZCTA5 76241,76241,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ZCTA5 76244,76244,170,236,19821,19574,1333,1850,1450,1534,1361,1414,24135,24608,0,0,596,566,643,608,124,158,127,158,1490,1490,25625,26098
ZCTA5 76245,76245,21,20,623,540,0,0,0,0,233,193,877,753,0,0,363,552,0,0,0,0,95,103,458,655,1335,1408
ZCTA5 76247,76247,11,69,4902,5165,109,246,34,72,633,712,5689,6264,0,0,157,281,0,0,0,0,0,65,157,346,5846,6610
ZCTA5 76248,76248,137,123,12465,12545,1005,1162,698,602,10,0,14315,14432,0,9,225,224,59,60,24,24,0,0,308,317,14623,14749
ZCTA5 76249,76249,20,32,2507,2788,54,47,196,146,347,264,3124,3277,0,0,36,28,0,16,0,0,49,54,85,98,3209,3375
ZCTA5 76250,76250,0,0,339,363,0,0,0,0,0,0,339,363,0,0,14,15,0,0,0,0,0,0,14,15,353,378
ZCTA5 76251,76251,3,3,195,216,0,0,0,0,39,49,237,268,0,0,68,59,0,0,0,0,0,2,68,61,305,329
ZCTA5 76252,76252,0,0,1004,1060,0,0,0,3,24,38,1028,1101,17,17,139,79,0,0,0,0,15,15,171,111,1199,1212
ZCTA5 76253,76253,0,0,54,39,0,0,0,0,28,25,82,64,0,0,0,0,0,0,0,0,0,0,0,0,82,64
ZCTA5 76255,76255,78,81,1779,1768,35,59,105,86,232,262,2229,2256,0,0,615,629,33,31,0,0,166,197,814,857,3043,3113
ZCTA5 76258,76258,0,14,2178,2368,151,25,94,101,368,417,2791,2925,0,0,86,132,0,0,24,22,0,0,110,154,2901,3079
ZCTA5 76259,76259,8,25,1507,1602,8,7,2,5,631,393,2156,2032,0,0,24,0,10,9,0,0,0,0,34,9,2190,2041
ZCTA5 76261,76261,0,0,52,39,13,14,0,0,11,32,76,85,0,0,47,18,0,0,0,0,3,0,50,18,126,103
ZCTA5 76262,76262,216,205,11289,11660,1996,2451,842,761,605,524,14948,15601,0,0,377,319,261,297,0,0,53,43,691,659,15639,16260
ZCTA5 76263,76263,0,0,9,14,0,0,0,0,0,0,9,14,0,0,0,0,0,0,0,0,0,0,0,0,9,14
ZCTA5 76264,76264,13,11,347,315,0,0,53,9,112,100,525,435,0,0,76,71,0,0,9,8,37,5,122,84,647,519
ZCTA5 76265,76265,4,4,484,498,10,13,37,46,124,95,659,656,0,0,176,172,0,0,0,0,62,48,238,220,897,876
ZCTA5 76266,76266,180,208,5277,5358,216,223,289,333,839,768,6801,6890,26,26,148,178,30,23,25,24,32,70,261,321,7062,7211
ZCTA5 76267,76267,0,0,14,23,0,0,0,0,0,0,14,23,0,0,25,18,0,0,0,0,0,0,25,18,39,41
ZCTA5 76268,76268,0,0,19,24,0,0,0,0,22,67,41,91,0,0,0,8,0,0,0,0,9,9,9,17,50,108
ZCTA5 76270,76270,12,7,516,586,0,0,0,0,313,280,841,873,0,0,74,86,0,0,0,0,66,80,140,166,981,1039
ZCTA5 76271,76271,54,70,598,561,4,11,20,15,27,37,703,694,0,0,29,37,0,0,0,0,14,0,43,37,746,731
ZCTA5 76272,76272,47,2,1410,1335,35,42,12,22,369,397,1873,1798,0,0,121,144,7,6,0,0,67,109,195,259,2068,2057
ZCTA5 76273,76273,47,23,2815,2700,103,103,171,211,859,987,3995,4024,0,0,176,148,0,0,0,0,9,10,185,158,4180,4182
ZCTA5 76301,76301,170,151,4423,4445,873,824,647,728,213,216,6326,6364,0,0,1012,852,114,117,261,357,79,72,1466,1398,7792,7762
ZCTA5 76302,76302,149,128,3380,3419,477,769,834,689,18,42,4858,5047,0,0,202,225,25,22,57,26,0,13,284,286,5142,5333
ZCTA5 76305,76305,13,11,1495,1583,26,32,139,131,321,243,1994,2000,0,0,153,108,47,59,16,15,117,139,333,321,2327,2321
ZCTA5 76306,76306,52,35,4073,4038,320,331,706,788,334,295,5485,5487,0,0,768,714,75,55,261,228,27,45,1131,1042,6616,6529
ZCTA5 76308,76308,200,193,5556,5674,1107,1148,1402,1449,126,129,8391,8593,0,0,398,361,197,195,512,452,21,0,1128,1008,9519,9601
ZCTA5 76309,76309,106,112,4495,4387,540,489,512,459,61,63,5714,5510,0,0,520,547,141,200,239,220,12,0,912,967,6626,6477
ZCTA5 76310,76310,53,62,6182,6299,524,574,795,719,157,179,7711,7833,33,33,256,169,70,39,300,319,55,57,714,617,8425,8450
ZCTA5 76311,76311,159,173,308,304,36,102,147,137,0,0,650,716,0,0,6,7,5,5,21,13,0,0,32,25,682,741
ZCTA5 76351,76351,0,0,536,561,0,0,102,60,49,36,687,657,0,0,119,106,0,0,8,8,17,18,144,132,831,789
ZCTA5 76354,76354,41,37,3891,3851,59,58,404,388,382,377,4777,4711,0,0,396,298,0,30,99,80,81,88,576,496,5353,5207
ZCTA5 76357,76357,4,0,207,197,0,0,0,0,0,0,211,197,4,3,53,74,0,0,0,0,46,50,103,127,314,324
ZCTA5 76360,76360,4,5,934,951,19,10,114,96,37,39,1108,1101,0,0,341,401,0,0,0,0,14,5,355,406,1463,1507
ZCTA5 76363,76363,0,0,101,63,0,0,0,0,6,0,107,63,0,0,57,59,0,0,0,0,0,0,57,59,164,122
ZCTA5 76364,76364,0,0,68,67,12,12,0,0,14,15,94,94,0,0,14,14,0,0,0,0,5,3,19,17,113,111
ZCTA5 76365,76365,31,31,1629,1671,0,0,100,141,144,122,1904,1965,19,0,307,279,0,0,8,8,89,132,423,419,2327,2384
ZCTA5 76366,76366,0,0,643,670,0,0,39,45,128,126,810,841,3,2,143,110,0,0,0,0,18,13,164,125,974,966
ZCTA5 76367,76367,66,72,3456,3463,0,0,105,140,366,323,3993,3998,0,0,239,294,0,0,0,0,81,78,320,372,4313,4370
ZCTA5 76370,76370,0,0,180,174,0,2,0,0,1,0,181,176,0,0,63,58,0,0,0,0,0,0,63,58,244,234
ZCTA5 76371,76371,0,0,556,590,0,0,23,43,10,0,589,633,10,10,169,162,0,0,0,0,15,6,194,178,783,811
ZCTA5 76372,76372,8,3,321,326,0,0,41,39,36,91,406,459,0,0,65,66,0,0,0,0,34,35,99,101,505,560
ZCTA5 76373,76373,0,0,30,43,0,0,0,0,27,31,57,74,0,0,0,0,0,0,0,0,0,0,0,0,57,74
ZCTA5 76374,76374,72,60,1453,1445,0,0,146,214,42,84,1713,1803,0,0,238,271,21,0,0,0,21,0,280,271,1993,2074
ZCTA5 76377,76377,8,0,187,186,0,0,0,0,15,11,210,197,0,0,60,77,0,0,0,0,39,34,99,111,309,308
ZCTA5 76379,76379,3,10,153,149,0,0,0,0,39,49,195,208,0,0,14,7,0,0,0,0,6,5,20,12,215,220
ZCTA5 76380,76380,13,11,1193,1289,12,0,185,158,94,98,1497,1556,0,0,611,502,0,0,60,72,90,66,761,640,2258,2196
ZCTA5 76384,76384,36,19,3492,3682,171,196,430,413,269,207,4398,4517,0,0,763,672,114,86,205,241,105,79,1187,1078,5585,5595
ZCTA5 76388,76388,0,0,81,83,0,0,0,0,6,2,87,85,0,0,22,17,0,0,0,0,0,0,22,17,109,102
ZCTA5 76389,76389,0,0,445,468,0,0,0,0,57,51,502,519,0,0,55,48,0,0,0,0,10,32,65,80,567,599
ZCTA5 76401,76401,290,363,7722,7990,1071,1003,1395,1576,1419,1379,11897,12311,0,18,828,852,409,329,208,193,178,123,1623,1515,13520,13826
ZCTA5 76402,76402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76424,76424,47,47,2377,2381,269,331,165,189,308,314,3166,3262,0,0,857,657,86,86,0,39,103,162,1046,944,4212,4206
ZCTA5 76426,76426,43,40,2948,2940,9,27,274,335,556,456,3830,3798,3,2,447,427,0,0,80,54,133,154,663,637,4493,4435
ZCTA5 76427,76427,0,3,262,266,0,0,28,20,66,91,356,380,0,0,36,40,0,0,10,11,19,12,65,63,421,443
ZCTA5 76429,76429,0,0,30,31,0,0,0,0,42,39,72,70,0,0,52,39,0,0,0,0,9,9,61,48,133,118
ZCTA5 76430,76430,0,0,844,870,2,3,78,70,48,73,972,1016,0,0,122,120,0,0,0,0,30,30,152,150,1124,1166
ZCTA5 76431,76431,2,3,1129,1164,0,0,4,6,474,376,1609,1549,0,0,145,133,0,0,0,0,13,16,158,149,1767,1698
ZCTA5 76432,76432,5,1,318,345,0,0,0,0,123,145,446,491,0,0,163,185,0,0,0,0,20,5,183,190,629,681
ZCTA5 76433,76433,0,0,681,758,0,0,0,0,53,79,734,837,0,0,74,69,0,0,0,0,7,5,81,74,815,911
ZCTA5 76435,76435,0,0,164,184,0,0,0,0,39,56,203,240,0,0,140,89,0,0,0,0,10,7,150,96,353,336
ZCTA5 76436,76436,0,0,31,18,0,0,0,0,12,27,43,45,0,0,74,69,0,0,0,0,0,0,74,69,117,114
ZCTA5 76437,76437,0,0,1918,1908,30,22,120,147,252,229,2320,2306,0,0,500,403,0,0,0,0,75,84,575,487,2895,2793
ZCTA5 76439,76439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76442,76442,54,45,2277,2273,0,0,167,168,316,276,2814,2762,3,3,690,619,23,0,0,0,111,98,827,720,3641,3482
ZCTA5 76443,76443,41,19,589,583,2,3,51,43,91,95,774,743,0,0,191,267,0,0,0,0,5,49,196,316,970,1059
ZCTA5 76444,76444,4,10,1154,1198,35,22,48,60,220,239,1461,1529,0,0,189,212,0,0,19,26,57,48,265,286,1726,1815
ZCTA5 76445,76445,0,0,72,79,0,0,0,0,36,40,108,119,0,0,89,89,0,0,0,0,0,0,89,89,197,208
ZCTA5 76446,76446,15,8,2429,1973,69,76,82,37,593,789,3188,2883,0,0,409,425,0,0,0,0,347,283,756,708,3944,3591
ZCTA5 76448,76448,83,68,1477,1483,140,114,201,174,182,215,2083,2054,0,0,675,673,0,0,0,0,101,72,776,745,2859,2799
ZCTA5 76449,76449,25,15,692,708,0,0,13,17,380,273,1110,1013,15,12,1380,1396,5,0,239,194,241,217,1880,1819,2990,2832
ZCTA5 76450,76450,12,17,4350,4332,84,97,445,522,437,545,5328,5513,39,22,521,419,20,0,169,81,223,203,972,725,6300,6238
ZCTA5 76452,76452,0,0,60,68,0,0,0,0,0,0,60,68,0,0,24,16,0,0,0,0,13,13,37,29,97,97
ZCTA5 76453,76453,0,0,572,546,0,0,0,0,99,105,671,651,0,0,255,246,0,0,0,0,26,30,281,276,952,927
ZCTA5 76454,76454,3,4,427,425,30,23,102,87,68,61,630,600,0,0,120,236,0,0,17,0,31,18,168,254,798,854
ZCTA5 76455,76455,12,8,283,280,0,0,0,5,40,43,335,336,0,0,111,137,0,0,0,0,25,23,136,160,471,496
ZCTA5 76457,76457,30,0,1107,1399,0,0,49,57,248,244,1434,1700,0,0,452,347,9,7,24,23,49,15,534,392,1968,2092
ZCTA5 76458,76458,4,6,1664,1587,1,0,197,201,192,199,2058,1993,0,0,330,389,25,37,0,0,120,126,475,552,2533,2545
ZCTA5 76459,76459,0,0,12,9,0,0,0,0,60,48,72,57,0,0,8,0,0,0,0,0,20,13,28,13,100,70
ZCTA5 76460,76460,0,0,126,115,0,0,20,20,15,0,161,135,0,0,17,17,0,0,0,0,47,35,64,52,225,187
ZCTA5 76462,76462,11,11,1097,1082,2,6,2,0,366,366,1478,1465,0,0,109,108,0,0,0,0,52,31,161,139,1639,1604
ZCTA5 76463,76463,1,0,135,135,0,0,0,0,58,45,194,180,0,0,41,38,0,0,0,0,43,30,84,68,278,248
ZCTA5 76464,76464,0,0,183,183,0,0,0,0,28,24,211,207,0,0,106,85,0,0,10,15,7,0,123,100,334,307
ZCTA5 76466,76466,0,0,118,101,0,0,37,47,0,0,155,148,0,0,0,18,0,0,0,0,0,0,0,18,155,166
ZCTA5 76469,76469,0,0,26,16,0,0,0,0,9,4,35,20,0,0,23,22,0,0,0,0,8,8,31,30,66,50
ZCTA5 76470,76470,52,47,812,862,52,55,112,129,236,251,1264,1344,0,0,237,221,14,30,38,32,111,104,400,387,1664,1731
ZCTA5 76471,76471,19,36,508,509,10,16,20,32,93,81,650,674,0,0,263,278,0,0,9,9,45,43,317,330,967,1004
ZCTA5 76472,76472,0,0,423,323,0,0,0,0,118,128,541,451,0,0,43,29,0,0,0,0,37,37,80,66,621,517
ZCTA5 76474,76474,0,0,105,107,0,0,0,0,6,17,111,124,0,0,11,25,0,0,0,0,8,9,19,34,130,158
ZCTA5 76475,76475,15,20,285,298,0,0,14,9,67,79,381,406,3,2,319,258,17,0,73,76,54,48,466,384,847,790
ZCTA5 76476,76476,8,16,787,892,0,0,24,14,237,219,1056,1141,0,0,31,55,0,0,9,9,33,25,73,89,1129,1230
ZCTA5 76481,76481,0,0,130,121,0,0,0,0,20,20,150,141,0,0,19,22,0,0,0,0,0,0,19,22,169,163
ZCTA5 76483,76483,9,9,268,289,5,1,43,47,50,27,375,373,8,8,157,141,0,0,0,0,9,9,174,158,549,531
ZCTA5 76484,76484,0,0,206,240,0,0,0,0,78,92,284,332,0,0,154,152,0,0,0,0,86,59,240,211,524,543
ZCTA5 76486,76486,0,0,381,383,0,0,0,0,158,126,539,509,0,0,90,136,0,0,0,0,50,29,140,165,679,674
ZCTA5 76487,76487,0,0,614,776,0,0,0,0,340,418,954,1194,0,0,150,140,0,0,0,0,127,103,277,243,1231,1437
ZCTA5 76490,76490,0,0,14,12,0,0,0,0,7,5,21,17,0,0,0,0,0,0,0,0,0,0,0,0,21,17
ZCTA5 76491,76491,7,7,181,222,0,0,6,11,21,30,215,270,0,0,46,44,0,0,0,0,8,19,54,63,269,333
ZCTA5 76501,76501,222,229,4899,4644,498,621,659,622,322,364,6600,6480,0,0,605,598,153,85,50,135,0,0,808,818,7408,7298
ZCTA5 76502,76502,426,379,13172,13677,1595,1683,1270,1635,962,878,17425,18252,0,0,547,763,235,216,174,266,0,0,956,1245,18381,19497
ZCTA5 76504,76504,236,227,4675,4715,2418,2400,2320,2417,341,424,9990,10183,0,0,537,527,228,143,198,215,0,0,963,885,10953,11068
ZCTA5 76511,76511,12,15,712,722,4,2,43,37,124,93,895,869,0,0,125,110,0,0,17,9,8,0,150,119,1045,988
ZCTA5 76513,76513,163,222,10669,10816,1391,1354,1249,1382,1400,1247,14872,15021,0,0,461,467,100,76,89,222,346,218,996,983,15868,16004
ZCTA5 76518,76518,0,17,366,331,11,15,8,7,139,126,524,496,0,0,77,83,0,0,0,0,39,25,116,108,640,604
ZCTA5 76519,76519,0,0,159,221,0,0,0,0,18,21,177,242,0,0,178,97,0,0,0,0,0,0,178,97,355,339
ZCTA5 76520,76520,9,7,2049,2139,94,106,296,352,283,254,2731,2858,0,0,406,310,0,0,22,0,96,79,524,389,3255,3247
ZCTA5 76522,76522,296,332,10952,11781,1071,1024,2703,2718,694,573,15716,16428,0,0,565,512,23,45,368,277,117,108,1073,942,16789,17370
ZCTA5 76523,76523,0,0,99,87,0,0,0,0,36,56,135,143,0,0,0,0,0,0,0,0,0,0,0,0,135,143
ZCTA5 76524,76524,7,0,1057,937,0,4,7,0,381,400,1452,1341,0,0,37,36,0,0,0,0,58,96,95,132,1547,1473
ZCTA5 76525,76525,5,8,431,415,0,0,8,9,51,90,495,522,0,0,115,124,0,0,0,0,13,7,128,131,623,653
ZCTA5 76527,76527,15,28,1034,1124,0,0,14,7,438,424,1501,1583,0,0,73,53,0,0,0,0,23,16,96,69,1597,1652
ZCTA5 76528,76528,116,71,5209,5431,173,103,450,435,644,527,6592,6567,0,2,689,604,0,0,49,52,110,86,848,744,7440,7311
ZCTA5 76530,76530,0,2,775,777,17,0,41,48,130,143,963,970,0,0,107,97,0,0,0,0,29,25,136,122,1099,1092
ZCTA5 76531,76531,16,11,1535,1384,0,0,46,88,83,146,1680,1629,0,0,574,670,0,0,0,0,57,34,631,704,2311,2333
ZCTA5 76534,76534,27,26,776,783,66,34,57,59,139,172,1065,1074,12,13,86,61,20,21,0,0,31,28,149,123,1214,1197
ZCTA5 76537,76537,97,124,3383,3782,70,48,181,192,220,206,3951,4352,0,0,170,156,0,0,0,0,38,30,208,186,4159,4538
ZCTA5 76538,76538,12,9,427,398,7,0,0,0,50,46,496,453,0,0,90,81,0,0,0,0,6,5,96,86,592,539
ZCTA5 76539,76539,0,16,2465,2534,0,0,2,2,657,637,3124,3189,0,0,235,226,0,0,18,18,331,285,584,529,3708,3718
ZCTA5 76541,76541,428,464,3683,3676,2056,2412,2093,1865,61,36,8321,8453,254,230,423,497,712,598,371,306,127,123,1887,1754,10208,10207
ZCTA5 76542,76542,486,591,13618,14471,1113,1065,3054,2982,725,804,18996,19913,85,127,525,357,236,233,208,277,135,120,1189,1114,20185,21027
ZCTA5 76543,76543,431,401,7345,7387,1652,1689,3184,3407,469,646,13081,13530,23,48,477,547,363,379,337,299,577,497,1777,1770,14858,15300
ZCTA5 76544,76544,2954,3148,789,1015,119,95,319,404,26,37,4207,4699,2857,1967,195,169,0,0,90,98,12,11,3154,2245,7361,6944
ZCTA5 76548,76548,230,238,7729,8248,726,603,2019,1995,951,732,11655,11816,0,0,418,384,41,0,45,126,446,331,950,841,12605,12657
ZCTA5 76549,76549,796,923,13791,13889,914,959,3577,3805,320,479,19398,20055,144,124,750,819,172,180,595,519,93,97,1754,1739,21152,21794
ZCTA5 76550,76550,31,54,3803,3973,154,119,539,457,523,534,5050,5137,0,0,725,738,0,0,99,76,255,178,1079,992,6129,6129
ZCTA5 76554,76554,11,10,665,613,4,0,38,37,89,75,807,735,0,0,49,51,0,0,0,0,53,42,102,93,909,828
ZCTA5 76556,76556,0,0,487,511,0,0,22,17,226,213,735,741,5,2,144,142,0,0,0,0,56,46,205,190,940,931
ZCTA5 76557,76557,0,30,1351,1273,3,3,56,62,395,407,1805,1775,0,9,143,172,0,0,20,11,27,27,190,219,1995,1994
ZCTA5 76559,76559,59,52,1400,1767,109,182,100,42,651,588,2319,2631,0,0,90,45,0,0,0,0,157,170,247,215,2566,2846
ZCTA5 76561,76561,0,0,299,285,0,0,18,14,110,116,427,415,9,0,55,60,0,0,0,0,41,45,105,105,532,520
ZCTA5 76565,76565,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,18,0,0,0,0,0,0,0,18,10,18
ZCTA5 76566,76566,0,0,117,146,0,0,0,0,3,0,120,146,0,0,27,25,0,0,0,0,9,26,36,51,156,197
ZCTA5 76567,76567,14,20,3147,2858,89,97,66,146,352,564,3668,3685,0,0,455,319,0,0,11,12,69,168,535,499,4203,4184
ZCTA5 76569,76569,0,0,792,771,0,5,56,41,143,151,991,968,0,0,117,94,0,0,0,0,14,3,131,97,1122,1065
ZCTA5 76570,76570,0,0,802,796,13,27,7,30,39,61,861,914,0,0,300,222,10,10,5,19,47,26,362,277,1223,1191
ZCTA5 76571,76571,86,94,2805,2769,15,5,117,149,532,569,3555,3586,40,42,244,87,0,0,0,0,26,27,310,156,3865,3742
ZCTA5 76573,76573,0,0,6,5,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,6,5
ZCTA5 76574,76574,133,43,6324,6626,171,158,832,773,226,197,7686,7797,0,0,538,487,29,9,166,126,42,39,775,661,8461,8458
ZCTA5 76577,76577,0,0,894,979,0,0,45,66,323,366,1262,1411,0,0,172,164,0,0,11,11,5,5,188,180,1450,1591
ZCTA5 76578,76578,0,6,422,511,0,0,4,5,34,26,460,548,0,0,64,19,0,0,0,0,52,64,116,83,576,631
ZCTA5 76579,76579,11,75,1271,1451,30,31,81,101,320,292,1713,1950,0,0,97,173,11,0,0,0,19,10,127,183,1840,2133
ZCTA5 76596,76596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76597,76597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76598,76598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76599,76599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZCTA5 76621,76621,0,0,345,369,0,0,0,0,15,19,360,388,0,0,108,74,0,0,0,0,5,4,113,78,473,466
ZCTA5 76622,76622,0,0,359,330,0,0,0,0,136,156,495,486,0,0,58,90,0,0,0,0,13,0,71,90,566,576
ZCTA5 76623,76623,0,0,44,22,0,0,0,0,19,17,63,39,0,0,13,11,0,0,0,0,3,3,16,14,79,53
ZCTA5 76624,76624,0,0,514,510,0,0,3,0,401,431,918,941,0,0,111,56,0,0,0,0,71,75,182,131,1100,1072
ZCTA5 76626,76626,11,0,410,349,0,0,3,3,117,127,541,479,0,0,137,134,0,0,0,0,13,8,150,142,691,621
ZCTA5 76627,76627,7,5,341,362,0,0,0,0,210,223,558,590,0,0,70,78,0,0,0,0,40,49,110,127,668,717
ZCTA5 76628,76628,0,0,14,12,0,0,0,0,4,16,18,28,0,0,5,0,0,0,0,0,0,0,5,0,23,28
ZCTA5 76629,76629,0,7,626,583,25,16,30,30,151,167,832,803,0,0,215,252,0,0,14,15,60,43,289,310,1121,1113
ZCTA5 76630,76630,0,0,648,570,0,0,0,0,156,170,804,740,0,0,56,48,0,0,0,0,0,0,56,48,860,788
ZCTA5 76631,76631,2,3,125,118,0,0,0,0,26,19,153,140,0,0,41,32,0,0,0,0,0,7,41,39,194,179
ZCTA5 76632,76632,18,22,400,395,0,8,26,15,133,74,577,514,0,0,107,20,0,0,0,0,39,33,146,53,723,567
ZCTA5 76633,76633,0,0,1734,1725,0,0,0,0,262,205,1996,1930,0,0,28,0,0,0,0,0,0,0,28,0,2024,1930
ZCTA5 76634,76634,30,21,2485,2596,86,74,83,93,252,206,2936,2990,0,0,474,462,29,30,36,12,265,166,804,670,3740,3660
ZCTA5 76635,76635,18,20,332,350,0,0,23,48,96,56,469,474,0,0,52,46,0,0,0,0,57,74,109,120,578,594
ZCTA5 76636,76636,2,34,449,415,0,0,13,10,117,138,581,597,0,0,32,32,0,0,0,0,32,15,64,47,645,644
ZCTA5 76637,76637,4,4,180,173,0,0,10,14,14,17,208,208,0,0,48,49,0,0,0,0,1,1,49,50,257,258
ZCTA5 76638,76638,15,13,959,1020,13,10,0,4,36,44,1023,1091,0,0,63,45,0,0,0,0,40,38,103,83,1126,1174
ZCTA5 76639,76639,19,18,384,429,4,5,78,57,207,242,692,751,0,0,133,105,0,0,0,0,43,25,176,130,868,881
ZCTA5 76640,76640,0,13,732,741,0,0,117,47,242,233,1091,1034,0,0,69,80,0,0,0,0,49,0,118,80,1209,1114
ZCTA5 76641,76641,26,30,402,432,0,0,9,13,155,188,592,663,0,0,53,45,0,0,0,0,55,48,108,93,700,756
ZCTA5 76642,76642,26,32,1622,1699,30,41,286,213,342,307,2306,2292,0,0,311,347,0,0,47,47,179,138,537,532,2843,2824
ZCTA5 76643,76643,397,547,4328,4433,209,297,754,617,267,117,5955,6011,0,119,102,101,0,0,0,0,0,0,102,220,6057,6231
ZCTA5 76645,76645,32,47,2561,2760,267,265,583,494,497,421,3940,3987,0,0,406,517,0,0,17,14,52,41,475,572,4415,4559
ZCTA5 76648,76648,0,0,694,699,40,57,39,33,233,238,1006,1027,0,0,275,212,10,10,0,0,65,64,350,286,1356,1313
ZCTA5 76649,76649,1,0,277,327,0,0,0,0,38,51,316,378,0,0,83,69,0,0,0,0,8,10,91,79,407,457
ZCTA5 76650,76650,0,0,28,21,0,0,0,0,2,2,30,23,0,0,12,7,0,0,0,0,0,0,12,7,42,30
ZCTA5 76651,76651,5,4,1085,1154,25,0,142,99,144,112,1401,1369,0,0,149,153,0,0,0,0,16,17,165,170,1566,1539
ZCTA5 76652,76652,0,0,291,311,0,0,0,0,145,155,436,466,0,0,96,93,0,0,0,0,29,48,125,141,561,607
ZCTA5 76653,76653,11,0,469,471,0,0,5,0,105,68,590,539,0,0,93,70,0,0,4,5,0,0,97,75,687,614
ZCTA5 76654,76654,4,0,68,62,0,0,0,0,12,13,84,75,0,0,6,6,0,0,0,0,1,1,7,7,91,82
ZCTA5 76655,76655,59,63,2698,2865,39,57,80,74,172,255,3048,3314,0,0,134,110,8,9,12,10,33,35,187,164,3235,3478
ZCTA5 76656,76656,3,0,622,634,8,7,73,61,203,250,909,952,0,0,109,46,23,23,12,8,63,37,207,114,1116,1066
ZCTA5 76657,76657,174,131,3511,3747,63,64,50,117,250,192,4048,4251,0,0,233,367,0,57,45,45,56,55,334,524,4382,4775
ZCTA5 76660,76660,2,2,169,144,0,0,0,0,24,22,195,168,0,0,61,55,0,0,0,0,5,0,66,55,261,223
ZCTA5 76661,76661,105,103,1582,1930,181,105,63,160,57,99,1988,2397,0,0,822,630,19,0,89,103,43,29,973,762,2961,3159
ZCTA5 76664,76664,2,5,958,875,11,4,49,50,196,202,1216,1136,0,0,134,121,0,0,0,0,16,35,150,156,1366,1292
ZCTA5 76665,76665,32,38,782,885,12,12,85,103,136,119,1047,1157,7,6,201,218,0,0,9,10,51,50,268,284,1315,1441
ZCTA5 76666,76666,0,0,52,50,0,0,12,13,15,19,79,82,0,0,26,23,0,0,0,0,0,0,26,23,105,105
