Geographic_Area_Name,zipCode,"Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_attached_2023","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2022","Total_Housing_Units!!Occupied_Units!!1-unit,_detached_2023",Total_Housing_Units!!Occupied_Units!!10_or_more_units_2022,Total_Housing_Units!!Occupied_Units!!10_or_more_units_2023,Total_Housing_Units!!Occupied_Units!!2-9_units_2022,Total_Housing_Units!!Occupied_Units!!2-9_units_2023,"Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2022","Total_Housing_Units!!Occupied_Units!!mobile-home,_Boat,_RV,_Van,_etc._2023",Total_Housing_Units!!Occupied_Units_2022,Total_Housing_Units!!Occupied_Units_2023,"Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_attached_2023","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2022","Total_Housing_Units!!Vacant_Units!!1-unit,_detached_2023",Total_Housing_Units!!Vacant_Units!!10_or_more_units_2022,Total_Housing_Units!!Vacant_Units!!10_or_more_units_2023,Total_Housing_Units!!Vacant_Units!!2-9_units_2022,Total_Housing_Units!!Vacant_Units!!2-9_units_2023,Total_Housing_Units!!Vacant_Units!!mobile-home_2022,Total_Housing_Units!!Vacant_Units!!mobile-home_2023,Total_Housing_Units!!Vacant_Units_2022,Total_Housing_Units!!Vacant_Units_2023,Total_Housing_Units_2022,Total_Housing_Units_2023
ZCTA5 41861,41861,0,0,50,42,0,0,0,0,97,79,147,121,0,0,19,20,0,0,0,0,12,12,31,32,178,153
ZCTA5 41862,41862,0,0,247,247,0,0,0,0,128,117,375,364,0,0,85,82,0,0,0,0,14,16,99,98,474,462
ZCTA5 42001,42001,301,341,8208,8345,920,843,3050,3084,382,483,12861,13096,68,64,1080,903,58,55,542,504,200,193,1948,1719,14809,14815
ZCTA5 42003,42003,220,265,8124,8136,829,803,1013,1073,1126,1257,11312,11534,0,0,1405,1289,285,326,316,419,568,564,2574,2598,13886,14132
ZCTA5 42020,42020,0,0,736,765,0,0,8,9,91,88,835,862,0,0,54,26,0,0,0,0,30,24,84,50,919,912
ZCTA5 42021,42021,3,0,418,388,12,12,20,16,109,55,562,471,0,0,93,91,0,0,0,0,37,55,130,146,692,617
ZCTA5 42022,42022,0,0,27,53,0,0,0,0,7,8,34,61,0,0,0,0,0,0,0,0,27,0,27,0,61,61
ZCTA5 42023,42023,0,0,684,733,5,4,74,105,129,139,892,981,0,0,176,196,0,0,8,0,47,58,231,254,1123,1235
ZCTA5 42024,42024,2,2,360,421,3,6,62,66,66,51,493,546,0,0,149,116,0,0,22,19,40,19,211,154,704,700
ZCTA5 42025,42025,104,89,6315,6542,323,334,196,203,901,919,7839,8087,53,0,977,992,113,114,154,128,495,484,1792,1718,9631,9805
ZCTA5 42027,42027,0,0,612,542,0,0,0,0,162,169,774,711,0,0,93,89,0,0,0,0,157,103,250,192,1024,903
ZCTA5 42028,42028,0,0,188,143,0,0,0,0,30,52,218,195,0,0,87,61,0,0,0,0,23,0,110,61,328,256
ZCTA5 42029,42029,12,7,1888,1818,65,40,206,248,342,341,2513,2454,0,0,261,334,0,0,0,0,121,135,382,469,2895,2923
ZCTA5 42031,42031,0,0,1131,1089,5,4,68,47,78,152,1282,1292,0,0,285,243,0,0,19,16,157,184,461,443,1743,1735
ZCTA5 42032,42032,0,0,65,65,0,0,3,1,12,11,80,77,0,0,30,64,0,0,0,0,0,0,30,64,110,141
ZCTA5 42035,42035,0,0,257,229,0,0,0,0,65,56,322,285,0,0,0,0,0,0,0,0,24,23,24,23,346,308
ZCTA5 42036,42036,0,0,488,516,0,0,0,0,70,101,558,617,0,0,11,0,0,0,0,0,22,24,33,24,591,641
ZCTA5 42037,42037,0,0,14,15,0,0,0,0,0,0,14,15,0,0,9,8,0,0,0,0,0,0,9,8,23,23
ZCTA5 42038,42038,27,0,1573,1634,21,22,196,186,289,215,2106,2057,0,0,723,680,20,17,29,35,200,203,972,935,3078,2992
ZCTA5 42039,42039,0,0,462,422,14,12,23,16,105,144,604,594,0,0,113,75,0,0,0,0,0,0,113,75,717,669
ZCTA5 42040,42040,0,0,320,371,0,0,9,8,35,22,364,401,0,0,84,87,0,0,0,0,0,0,84,87,448,488
ZCTA5 42041,42041,7,12,1282,1219,14,14,236,198,166,145,1705,1588,15,13,345,276,26,25,94,71,25,25,505,410,2210,1998
ZCTA5 42044,42044,11,14,1282,1375,13,12,23,12,183,175,1512,1588,0,0,653,625,0,0,84,90,91,68,828,783,2340,2371
ZCTA5 42045,42045,25,21,540,565,0,1,5,14,229,274,799,875,17,8,233,246,0,0,0,1,64,89,314,344,1113,1219
ZCTA5 42047,42047,0,0,20,18,0,0,0,0,44,40,64,58,0,0,13,12,0,0,0,0,0,0,13,12,77,70
ZCTA5 42048,42048,3,0,638,595,0,0,70,48,199,138,910,781,0,0,130,92,8,8,7,7,200,201,345,308,1255,1089
ZCTA5 42049,42049,3,2,451,402,16,18,2,3,106,117,578,542,0,0,104,116,0,0,0,0,93,64,197,180,775,722
ZCTA5 42050,42050,0,0,937,1041,49,41,106,164,12,14,1104,1260,0,0,353,285,0,0,0,0,42,43,395,328,1499,1588
ZCTA5 42051,42051,0,0,604,571,0,0,30,24,237,224,871,819,0,0,46,44,0,0,52,51,104,105,202,200,1073,1019
ZCTA5 42053,42053,54,48,1492,1448,3,2,78,71,294,329,1921,1898,0,0,106,70,0,0,6,13,206,191,318,274,2239,2172
ZCTA5 42054,42054,0,0,356,277,86,78,0,0,93,55,535,410,0,0,22,23,0,0,0,0,47,24,69,47,604,457
ZCTA5 42055,42055,2,8,780,827,29,40,91,83,89,153,991,1111,33,22,241,222,0,0,90,69,214,234,578,547,1569,1658
ZCTA5 42056,42056,5,5,426,411,3,4,79,64,87,80,600,564,0,0,112,107,0,0,57,62,49,42,218,211,818,775
ZCTA5 42058,42058,0,16,691,712,4,7,0,0,139,113,834,848,0,0,123,131,0,0,0,0,63,60,186,191,1020,1039
ZCTA5 42060,42060,0,0,0,6,0,0,0,0,8,6,8,12,0,0,10,10,0,0,0,0,20,0,30,10,38,22
ZCTA5 42061,42061,0,0,79,51,0,0,0,0,0,0,79,51,0,0,0,0,0,0,0,0,0,0,0,0,79,51
ZCTA5 42064,42064,23,22,2495,2504,10,0,94,126,491,488,3113,3140,0,0,686,634,10,0,0,28,68,84,764,746,3877,3886
ZCTA5 42066,42066,89,103,7351,7587,211,161,735,655,917,837,9303,9343,0,0,963,1084,153,153,41,99,141,114,1298,1450,10601,10793
ZCTA5 42069,42069,0,0,398,444,0,0,0,0,0,24,398,468,0,0,48,27,0,0,0,0,0,0,48,27,446,495
ZCTA5 42071,42071,167,165,7248,7592,467,259,2609,2753,1247,1218,11738,11987,0,0,1180,1109,311,256,392,354,421,468,2304,2187,14042,14174
