Geographic_Area_Name,zipCode,Median_value_2011,Median_value_2012,Median_value_2013,Median_value_2014,Median_value_2015,Median_value_2016,Median_value_2017,Median_value_2018,Median_value_2019,Median_value_2020,Median_value_2021,Median_value_2022,Median_value_2023,Median_value_2024
ZCTA5 01453,01453,251100,239500,232600,231900,227500,227000,231700,237100,242000,261700,275300,324400,345900,381300
ZCTA5 01460,01460,395200,386700,382700,390300,392900,392300,401500,436100,459000,476800,526600,591400,633000,658300
ZCTA5 01462,01462,305000,292300,282100,275300,268400,273600,285300,293300,308800,326400,344400,394100,442900,463800
ZCTA5 01463,01463,338400,327300,319100,312200,310800,315500,326100,338900,343400,364700,381200,441500,459800,482100
ZCTA5 01464,01464,285200,283900,273700,268900,308700,310600,328700,309200,314200,307700,324000,384200,412700,427600
ZCTA5 01467,01467,656600,594800,534500,510700,490800,513400,386300,404500,376100,529600,,,,
ZCTA5 01468,01468,251300,241000,225800,218200,215300,209000,207500,197700,203800,258800,280900,346500,358700,384500
ZCTA5 01469,01469,274100,268500,263800,259600,258800,258100,263600,267600,287400,299900,318500,363600,385200,425800
ZCTA5 01473,01473,281600,269900,251200,265600,250900,270400,274600,281800,287300,303100,317200,370200,394000,422000
ZCTA5 01474,01474,290200,286500,269400,266800,267100,277900,275700,288500,309500,312800,325400,385100,427600,460200
ZCTA5 01475,01475,223800,214300,204900,202100,192300,186400,188100,195200,206100,220300,238500,274000,294900,323800
ZCTA5 01501,01501,254000,251300,245300,239300,241300,240700,246100,253300,264400,274800,295700,340600,363400,400800
ZCTA5 01503,01503,429500,399600,389500,380200,377500,376100,379600,401100,422600,438200,477100,570300,566800,616600
ZCTA5 01504,01504,284000,278500,275600,263500,264500,261400,267800,270900,291100,287400,304800,355100,394600,404400
ZCTA5 01505,01505,370000,373800,348900,346400,345900,347900,363100,374600,385900,441300,470500,498000,578700,578600
ZCTA5 01506,01506,208900,207300,203700,228900,225400,217200,224300,226100,218900,225900,248200,274000,313200,341900
ZCTA5 01507,01507,322700,312300,298200,297900,286800,280100,280400,291700,297700,317800,340600,398800,405200,427500
ZCTA5 01510,01510,268100,259500,249800,246800,241200,242800,248100,245200,248200,269700,290600,329300,348000,387300
ZCTA5 01515,01515,238300,236100,233700,240000,239700,236100,246500,247700,249200,255000,284200,342800,342400,381200
ZCTA5 01516,01516,311100,290200,298700,286100,283100,274000,291600,304800,320600,336600,354400,405100,436700,467000
ZCTA5 01518,01518,267100,278700,285400,281100,308100,334700,325700,333700,339100,330500,327900,400700,410100,452900
ZCTA5 01519,01519,376600,381300,366400,372800,384100,378000,363800,365100,363100,385300,418400,505100,573200,631600
ZCTA5 01520,01520,294200,284000,282400,283600,286000,290400,297100,309700,324300,344200,363600,413700,444300,478300
ZCTA5 01521,01521,221200,225600,208900,204400,205700,203200,214300,241400,250600,251000,258600,278000,288700,333600
ZCTA5 01522,01522,268800,270400,271300,266800,277100,283900,284900,296500,296400,300200,338000,390800,386100,423900
ZCTA5 01523,01523,337200,313100,295600,289100,292100,304300,340400,355200,364300,369500,374600,398200,467400,519100
ZCTA5 01524,01524,276000,265600,239200,226000,220100,220800,223900,247900,262000,286700,303700,350500,390800,436200
ZCTA5 01525,01525,269300,259400,236500,253500,200000,208700,237500,272100,277100,-,-,-,-,-
ZCTA5 01527,01527,280600,276700,266100,258100,259200,261200,263200,278700,290300,291800,316600,375800,415600,450100
ZCTA5 01529,01529,288000,278200,272800,275900,276200,291800,298000,298500,307500,332300,341900,381900,418000,444600
ZCTA5 01531,01531,291800,278500,255400,259900,260800,272400,270700,285100,295300,304400,338100,372000,387200,408800
ZCTA5 01532,01532,382900,371700,368300,365300,366600,379900,389600,415000,447100,451100,475400,548400,598500,620000
ZCTA5 01534,01534,321400,308100,318200,318200,324800,327100,338300,342700,350800,354700,372100,423500,451800,481200
ZCTA5 01535,01535,235800,224500,204900,204800,231600,233100,238200,246900,244400,250500,261800,289500,316500,359100
ZCTA5 01536,01536,331400,314400,297800,295600,294500,322300,334900,345700,349100,361200,386600,428200,450500,470800
ZCTA5 01537,01537,228700,222200,220400,207700,204300,194700,189400,181300,222700,260700,294400,342000,338000,353500
ZCTA5 01540,01540,258700,253400,245700,237200,237300,236900,240000,249100,263800,271900,283200,330800,346000,376100
ZCTA5 01541,01541,374000,367900,352900,358600,353000,368500,381700,374100,373600,393700,419600,467900,496400,520500
ZCTA5 01542,01542,270800,267000,249400,249200,248700,239300,258400,260100,275300,277400,293400,347300,380300,405100
ZCTA5 01543,01543,263500,271500,268800,268200,274900,279600,281800,283800,295500,326100,350500,402300,439200,462800
ZCTA5 01545,01545,366400,364000,362600,368400,365500,384400,394100,398000,416000,434000,447400,512000,555500,592300
ZCTA5 01550,01550,220600,210800,200000,191900,186800,185400,188200,193500,198400,214500,222900,254700,267000,294800
ZCTA5 01560,01560,345000,350000,353900,359100,346700,354600,365700,345900,363200,371600,378100,427000,442900,484800
ZCTA5 01561,01561,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ZCTA5 01562,01562,253500,255400,254400,251300,251100,248000,252100,254200,255900,281100,309500,333400,368300,382000
ZCTA5 01564,01564,341000,330700,332500,324900,331600,340600,340500,340700,360000,367500,372400,423300,467400,498800
ZCTA5 01566,01566,295700,298100,286700,288800,275500,266500,266000,267400,268300,290400,317400,365800,393000,415900
ZCTA5 01568,01568,416900,402400,388000,398000,395200,399800,407900,438600,486300,483800,506700,537800,558600,574700
ZCTA5 01569,01569,306600,296200,286700,277900,274200,271600,277700,287300,315400,336100,365400,402300,417900,443400
ZCTA5 01570,01570,240400,236700,225400,220400,210200,209500,211800,222800,233500,260000,275700,324800,339600,361500
ZCTA5 01571,01571,253800,251200,243900,248600,246600,250300,252700,258500,263900,274300,285200,344900,372400,392600
