Geographic_Area_Name,zipCode,Charged_for_other_fuels!!$250_to_$749_2021,Charged_for_other_fuels!!$250_to_$749_2022,Charged_for_other_fuels!!$250_to_$749_2023,Charged_for_other_fuels!!$750+units_2021,Charged_for_other_fuels!!$750+units_2022,Charged_for_other_fuels!!$750+units_2023,Charged_for_other_fuels!!Less_than_$250_2021,Charged_for_other_fuels!!Less_than_$250_2022,Charged_for_other_fuels!!Less_than_$250_2023,Charged_for_other_fuels_2021,Charged_for_other_fuels_2022,Charged_for_other_fuels_2023,"Not_charged,_not_used,_or_payment_included_in_other_fees_2021","Not_charged,_not_used,_or_payment_included_in_other_fees_2022","Not_charged,_not_used,_or_payment_included_in_other_fees_2023",Total_2021,Total_2022,Total_2023
ZCTA5 83127,83127,84,106,100,20,27,46,208,132,98,312,265,244,1203,1420,1306,1515,1685,1550
ZCTA5 83128,83128,122,115,91,16,18,28,38,42,50,176,175,169,326,515,637,502,690,806
ZCTA5 83201,83201,329,320,278,168,102,147,149,106,85,646,528,510,13349,13930,14380,13995,14458,14890
ZCTA5 83202,83202,290,257,214,343,368,299,93,75,43,726,700,556,7587,7618,7849,8313,8318,8405
ZCTA5 83203,83203,0,0,0,0,0,0,0,0,0,0,0,0,13,20,20,13,20,20
ZCTA5 83204,83204,240,178,251,107,115,110,153,158,149,500,451,510,7222,7243,7253,7722,7694,7763
ZCTA5 83209,83209,0,0,0,0,0,0,0,0,0,0,0,0,217,199,222,217,199,222
ZCTA5 83210,83210,35,29,22,53,65,41,69,62,53,157,156,116,1205,1124,1064,1362,1280,1180
ZCTA5 83211,83211,83,55,18,58,100,74,8,0,0,149,155,92,2005,1970,2055,2154,2125,2147
ZCTA5 83212,83212,56,67,62,4,3,8,19,19,26,79,89,96,47,48,58,126,137,154
ZCTA5 83213,83213,55,38,36,74,139,130,23,24,23,152,201,189,298,319,359,450,520,548
ZCTA5 83214,83214,5,3,5,29,27,26,9,8,8,43,38,39,190,185,187,233,223,226
