zip_code,year,walkability_category,active_license_count,category_weight
60603,2011,personal_and_health_services,9,18
60603,2011,restaurants_and_social_life,124,372
60603,2011,uncategorized,812,0
60603,2012,auto_oriented,31,-93
60603,2012,community_and_entertainment,61,122
60603,2012,fresh_food_and_daily_needs,327,981
60603,2012,home_based_or_non_storefront,18,0
60603,2012,industrial_or_logistics,27,-54
60603,2012,local_retail_and_commercial_services,142,142
60603,2012,personal_and_health_services,13,26
60603,2012,restaurants_and_social_life,189,567
60603,2012,uncategorized,1249,0
60603,2013,auto_oriented,29,-87
60603,2013,community_and_entertainment,47,94
60603,2013,fresh_food_and_daily_needs,234,702
60603,2013,home_based_or_non_storefront,2,0
60603,2013,industrial_or_logistics,18,-36
60603,2013,local_retail_and_commercial_services,169,169
60603,2013,personal_and_health_services,13,26
60603,2013,restaurants_and_social_life,128,384
60603,2013,uncategorized,622,0
60603,2014,auto_oriented,30,-90
60603,2014,community_and_entertainment,58,116
60603,2014,fresh_food_and_daily_needs,334,1002
60603,2014,home_based_or_non_storefront,3,0
60603,2014,industrial_or_logistics,27,-54
60603,2014,local_retail_and_commercial_services,314,314
60603,2014,personal_and_health_services,15,30
60603,2014,restaurants_and_social_life,182,546
60603,2014,uncategorized,952,0
60603,2015,auto_oriented,30,-90
60603,2015,community_and_entertainment,51,102
60603,2015,fresh_food_and_daily_needs,254,762
60603,2015,home_based_or_non_storefront,3,0
60603,2015,industrial_or_logistics,18,-36
60603,2015,local_retail_and_commercial_services,249,249
60603,2015,personal_and_health_services,13,26
60603,2015,restaurants_and_social_life,155,465
60603,2015,uncategorized,492,0
60603,2016,auto_oriented,33,-99
60603,2016,community_and_entertainment,53,106
60603,2016,fresh_food_and_daily_needs,348,1044
60603,2016,home_based_or_non_storefront,3,0
60603,2016,industrial_or_logistics,25,-50
60603,2016,local_retail_and_commercial_services,365,365
60603,2016,personal_and_health_services,14,28
60603,2016,restaurants_and_social_life,192,576
60603,2016,uncategorized,725,0
60603,2017,auto_oriented,36,-108
60603,2017,community_and_entertainment,43,86
60603,2017,fresh_food_and_daily_needs,270,810
60603,2017,home_based_or_non_storefront,2,0
60603,2017,industrial_or_logistics,18,-36
60603,2017,local_retail_and_commercial_services,277,277
60603,2017,personal_and_health_services,14,28
60603,2017,restaurants_and_social_life,169,507
60603,2017,uncategorized,436,0
60603,2018,auto_oriented,35,-105
60603,2018,community_and_entertainment,47,94
60603,2018,fresh_food_and_daily_needs,350,1050
60603,2018,home_based_or_non_storefront,4,0
60603,2018,industrial_or_logistics,22,-44
60603,2018,local_retail_and_commercial_services,379,379
60603,2018,personal_and_health_services,11,22
60603,2018,restaurants_and_social_life,202,606
60603,2018,uncategorized,582,0
60603,2019,auto_oriented,36,-108
60603,2019,community_and_entertainment,44,88
60603,2019,fresh_food_and_daily_needs,281,843
60603,2019,home_based_or_non_storefront,7,0
60603,2019,industrial_or_logistics,17,-34
60603,2019,local_retail_and_commercial_services,300,300
60603,2019,personal_and_health_services,8,16
60603,2019,restaurants_and_social_life,171,513
60603,2019,uncategorized,355,0
60603,2020,auto_oriented,23,-69
60603,2020,community_and_entertainment,46,92
60603,2020,fresh_food_and_daily_needs,320,960
60603,2020,home_based_or_non_storefront,11,0
60603,2020,industrial_or_logistics,24,-48
60603,2020,local_retail_and_commercial_services,368,368
60603,2020,personal_and_health_services,7,14
60603,2020,restaurants_and_social_life,181,543
60603,2020,uncategorized,469,0
60603,2021,auto_oriented,27,-81
60603,2021,community_and_entertainment,41,82
60603,2021,fresh_food_and_daily_needs,278,834
60603,2021,home_based_or_non_storefront,14,0
60603,2021,industrial_or_logistics,20,-40
60603,2021,local_retail_and_commercial_services,319,319
60603,2021,personal_and_health_services,6,12
60603,2021,restaurants_and_social_life,176,528
60603,2021,uncategorized,337,0
60603,2022,auto_oriented,25,-75
60603,2022,community_and_entertainment,41,82
